City,State,Type,Year,CrimePerCapita,Gini,HSPerc
Stockton,California,Cities,2017,0.193819735,0.4818,0.787
Sunnyvale,California,Cities,2017,0.064549862,0.4368,0.913
Thousand Oaks,California,Cities,2017,0.077375426,0.4671,0.949
Torrance,California,Cities,2017,0.339024423,0.4349,0.929
Turlock,California,Cities,2017,0.408229915,0.4661,0.849
Tustin,California,Cities,2017,0.123082983,0.4725,0.884
Union City,California,Cities,2017,0.262085414,0.3763,0.904
Vacaville,California,Cities,2017,0.402848136,0.3969,0.863
Victorville,California,Cities,2017,0.162227053,0.4206,0.782
Visalia,California,Cities,2017,0.075675594,0.442,0.855
Vista,California,Cities,2017,0.58250165,0.3891,0.778
West Covina,California,Cities,2017,0.277448949,0.4488,0.872
Westminster,California,Cities,2017,0.435431022,0.5008,0.802
Yorba Linda,California,Cities,2017,0.145161056,0.4155,0.953
,Colorado,State,2017,0.18904421,0.4553,0.916
Arvada,Colorado,Cities,2017,0.167579978,0.4037,0.951
Aurora,Colorado,Cities,2017,0.489106511,0.4077,0.869
Boulder,Colorado,Cities,2017,0.273418275,0.5366,0.975
Broomfield,Colorado,Cities,2017,0.14671792,0.4197,0.969
Centennial,Colorado,Cities,2017,0.179507432,0.397,0.973
Colorado Springs,Colorado,Cities,2017,0.021143526,0.4414,0.932
Denver,Colorado,Cities,2017,0.240583287,0.49,0.884
Greeley,Colorado,Cities,2017,0.28327007,0.4131,0.835
Lakewood,Colorado,Cities,2017,0.255846083,0.4246,0.911
Loveland,Colorado,Cities,2017,0.254223284,0.3962,0.955
Pueblo,Colorado,Cities,2017,0.180388195,0.479,0.891
,Connecticut,State,2017,0.309348684,0.4943,0.904
Danbury,Connecticut,Cities,2017,0.584016633,0.4451,0.812
Hartford,Connecticut,Cities,2017,0.325491696,0.5095,0.738
New Britain,Connecticut,Cities,2017,0.138041468,0.4378,0.804
New Haven,Connecticut,Cities,2017,0.692558079,0.5321,0.887
Stamford,Connecticut,Cities,2017,0.46086843,0.5165,0.907
Waterbury,Connecticut,Cities,2017,0.092657796,0.4796,0.77
,Delaware,State,2017,0.291078748,0.4811,0.906
Wilmington,Delaware,Cities,2017,0.279516995,0.6062,0.869
,District Of Columbia,State,2017,2.59376459,0.5281,0.902
Washington,District Of Columbia,Cities,2017,2.247929311,0.5281,0.902
,Florida,State,2017,0.06909895,0.4859,0.884
Boca Raton,Florida,Cities,2017,0.101969022,0.5512,0.95
Clearwater,Florida,Cities,2017,0.08673403,0.4869,0.861
Davie,Florida,Cities,2017,0.675969292,0.5518,0.917
Deerfield Beach,Florida,Cities,2017,0.248286821,0.4571,0.844
Delray Beach,Florida,Cities,2017,0.145915107,0.5277,0.887
Fort Lauderdale,Florida,Cities,2017,0.331543001,0.5392,0.875
Fort Myers,Florida,Cities,2017,0.375384769,0.5112,0.831
Gainesville,Florida,Cities,2017,0.075314249,0.5558,0.923
Hollywood,Florida,Cities,2017,0.064980214,0.473,0.873
Homestead,Florida,Cities,2017,0.577400543,0.4699,0.771
Jacksonville,Florida,Cities,2017,0.067066232,0.4654,0.897
Largo,Florida,Cities,2017,0.358303077,0.4306,0.906
Miami Beach,Florida,Cities,2017,1.728403064,0.5746,0.881
Miami Gardens,Florida,Cities,2017,0.175426286,0.4198,0.785
Orlando,Florida,Cities,2017,0.176067497,0.4999,0.906
Palm Bay,Florida,Cities,2017,0.179734891,0.383,0.877
Pompano Beach,Florida,Cities,2017,0.270204545,0.4823,0.838
Port St. Lucie,Florida,Cities,2017,0.053007654,0.3837,0.88
Sunrise,Florida,Cities,2017,0.20977114,0.4056,0.891
Tampa,Florida,Cities,2017,0.078051826,0.5416,0.874
Weston,Florida,Cities,2017,0.423752754,0.5195,0.973
West Palm Beach,Florida,Cities,2017,0.182716816,0.4756,0.883
,Georgia,State,2017,0.026847236,0.483,0.87
Atlanta,Georgia,Cities,2017,0.062325618,0.5782,0.905
Columbus,Georgia,Cities,2017,0.201174861,0.5138,0.875
Warner Robins,Georgia,Cities,2017,0.132761573,0.4183,0.941
,Idaho,State,2017,0.308688174,0.4478,0.908
Nampa,Idaho,Cities,2017,0.429811742,0.4128,0.862
,Illinois,State,2017,0.06327125,0.4818,0.891
Aurora,Illinois,Cities,2017,0.099206841,0.4375,0.755
Bloomington,Illinois,Cities,2017,0.127872332,0.5104,0.961
Chicago,Illinois,Cities,2017,0.147810319,0.5268,0.848
Decatur,Illinois,Cities,2017,0.138594376,0.4691,0.899
Peoria,Illinois,Cities,2017,0.087598658,0.5235,0.881
Rockford,Illinois,Cities,2017,0.272535259,0.4847,0.828
Skokie,Illinois,Cities,2017,0.155843346,0.494,0.927
Springfield,Illinois,Cities,2017,0.259587429,0.4934,0.916
,Indiana,State,2017,0.082498127,0.4497,0.886
Bloomington,Indiana,Cities,2017,1.174798228,0.5246,0.907
Fishers,Indiana,Cities,2017,0.216527548,0.387,0.986
Fort Wayne,Indiana,Cities,2017,0.150229664,0.4437,0.882
Hammond,Indiana,Cities,2017,0.391900718,0.4484,0.791
Lafayette,Indiana,Cities,2017,1.24526109,0.4225,0.882
South Bend,Indiana,Cities,2017,0.294530567,0.4885,0.842
,Iowa,State,2017,0.034968247,0.4381,0.921
Ames,Iowa,Cities,2017,0.148233794,0.4858,0.971
Iowa City,Iowa,Cities,2017,0.397251023,0.4986,0.973
,Kansas,State,2017,0.257455658,0.4539,0.91
Shawnee,Kansas,Cities,2017,0.152246396,0.4368,0.963
Topeka,Kansas,Cities,2017,0.07897397,0.4143,0.933
Wichita,Kansas,Cities,2017,0.153419726,0.4603,0.887
,Kentucky,State,2017,0.80822794,0.4784,0.863
Bowling Green,Kentucky,Cities,2017,3.618981558,0.4902,0.849
Lexington,Kentucky,Cities,2017,0.806621744,0.4919,0.923
,Louisiana,State,2017,0.055504167,0.4935,0.851
New Orleans,Louisiana,Cities,2017,0.025160587,0.5624,0.862
Shreveport,Louisiana,Cities,2017,0.051563136,0.5563,0.868
,Maine,State,2017,0.22456653,0.4526,0.923
Portland,Maine,Cities,2017,1.490779529,0.4501,0.916
,Maryland,State,2017,0.069396516,0.453,0.899
Baltimore,Maryland,Cities,2017,0,0.5102,0.843
,Massachusetts,State,2017,0.61809211,0.4851,0.908
Brockton,Massachusetts,Cities,2017,0.104149308,0.4223,0.809
Framingham,Massachusetts,Cities,2017,0.692971879,0.4635,0.909
Lowell,Massachusetts,Cities,2017,0.179704207,0.4852,0.79
New Bedford,Massachusetts,Cities,2017,0.105144732,0.4844,0.771
Newton,Massachusetts,Cities,2017,1.337255951,0.4511,0.974
Springfield,Massachusetts,Cities,2017,0.45289269,0.4857,0.78
,Michigan,State,2017,0.449694855,0.4671,0.909
Ann Arbor,Michigan,Cities,2017,1.558271139,0.4892,0.962
Dearborn,Michigan,Cities,2017,0.426034999,0.4996,0.786
Detroit,Michigan,Cities,2017,0.581402283,0.5071,0.812
Farmington Hills,Michigan,Cities,2017,0.122912032,0.4315,0.955
Flint,Michigan,Cities,2017,1.035143109,0.4778,0.846
Grand Rapids,Michigan,Cities,2017,0.50538743,0.4462,0.866
Lansing,Michigan,Cities,2017,1.03179653,0.4319,0.888
Rochester Hills,Michigan,Cities,2017,0.541807198,0.4382,0.972
Southfield,Michigan,Cities,2017,0.68190497,0.4631,0.921
Troy,Michigan,Cities,2017,0.356777585,0.413,0.966
Warren,Michigan,Cities,2017,0.073908191,0.4266,0.877
Westland,Michigan,Cities,2017,0.246432884,0.4086,0.906
Wyoming,Michigan,Cities,2017,0.525258361,0.3969,0.866
,Minnesota,State,2017,0.265394399,0.4516,0.931
Brooklyn Park,Minnesota,Cities,2017,0.746760924,0.4077,0.921
Duluth,Minnesota,Cities,2017,0.231733599,0.4729,0.941
Maple Grove,Minnesota,Cities,2017,0.563650199,0.389,0.976
Minneapolis,Minnesota,Cities,2017,0.739908013,0.5035,0.896
Plymouth,Minnesota,Cities,2017,0.127622645,0.4396,0.981
Rochester,Minnesota,Cities,2017,1.128198007,0.4289,0.954
St. Cloud,Minnesota,Cities,2017,0.2945031,0.469,0.908
St. Paul,Minnesota,Cities,2017,0.554294807,0.4869,0.851
