cities,City,State,ginicor,hscor,articleplugin,Population,Gini,HSGrad,CrimesPerYear,CrimePerCapita,Latitude,Longitude,mostCommon
"cleveland, ohio",Cleveland,Ohio,0.41,-0.06,Neither,409133,0.496,0.768,9.08,0.222,41.4766,-81.6805,Race
"columbus, ohio",Columbus,Ohio,0.181,0.101,Neither,787309,0.446,0.878,72.2,0.917,39.9859,-82.9852,Race
"dayton, ohio",Dayton,Ohio,-0.05,0.248,Neither,146947,0.479,0.818,5,0.34,39.7798,-84.1999,Race
"lorain, ohio",Lorain,Ohio,0.199,-0.488,Neither,65980,0.452,0.806,5.22,0.791,41.4409,-82.184,Race
"parma, ohio",Parma,Ohio,0.254,0.578,Neither,79359,0.378,0.89,1.55,0.195,41.3842,-81.7286,Race
"toledo, ohio",Toledo,Ohio,0,0,Neither,278877,0.463,0.854,19,0.681,41.6639,-83.582,Race
"lawton, oklahoma",Lawton,Oklahoma,0,0,Neither,92950,0.434,0.89,1.5,0.161,34.6171,-98.4204,Race
"norman, oklahoma",Norman,Oklahoma,-0.63,-0.058,Gini,113551,0.48,0.93,3.45,0.304,35.2335,-97.3471,Race
"beaverton, oregon",Beaverton,Oregon,-0.502,0.383,Neither,93117,0.427,0.906,6.3,0.677,45.4779,-122.8168,Race
"eugene, oregon",Eugene,Oregon,0,0,Neither,157784,0.502,0.933,29.14,1.847,44.0562,-123.1172,Race
"gresham, oregon",Gresham,Oregon,0,0,Neither,111979,0.413,0.884,4,0.357,45.5023,-122.4414,Race
"hillsboro, oregon",Hillsboro,Oregon,0,0,Neither,107433,0.351,0.916,4,0.372,45.5289,-122.9373,Religion
"portland, oregon",Portland,Oregon,0.426,-0.5,Neither,584733,0.479,0.902,28.7,0.491,45.5372,-122.65,Race
"salem, oregon",Salem,Oregon,0.166,-0.078,Neither,158662,0.434,0.86,7.25,0.457,44.9231,-123.0245,Race
"bethlehem, pennsylvania",Bethlehem,Pennsylvania,0,0,Neither,75336,0.501,0.871,1,0.133,40.6266,-75.3679,Race
"philadelphia, pennsylvania",Philadelphia,Pennsylvania,-0.173,-0.138,Neither,1528624,0.508,0.818,17.83,0.117,40.0076,-75.134,Race
"pittsburgh, pennsylvania",Pittsburgh,Pennsylvania,-0.244,0.288,Neither,310227,0.52,0.907,10.5,0.338,40.4396,-79.9763,Race
"providence, rhode island",Providence,Rhode Island,0.173,0.057,Neither,176352,0.542,0.778,9.45,0.536,41.8229,-71.4186,Race
"charleston, south carolina",Charleston,South Carolina,0,0,Neither,127056,0.502,0.938,1.86,0.146,32.8137,-79.9643,Race
"north charleston, south carolina",North Charleston,South Carolina,0,0,Neither,100341,0.449,0.811,1.17,0.116,32.9086,-80.0705,Orientation
"rapid city, south dakota",Rapid City,South Dakota,0.279,-0.161,Neither,70217,0.453,0.913,6.08,0.882,44.0709,-103.22,Race
"sioux falls, south dakota",Sioux Falls,South Dakota,0.06,-0.518,Neither,159662,0.439,0.906,15,0.939,43.5382,-96.7315,Race
"chattanooga, tennessee",Chattanooga,Tennessee,0.153,0.063,Neither,170614,0.5,0.843,6.75,0.396,35.0657,-85.2488,Race
"clarksville, tennessee",Clarksville,Tennessee,0.033,0.437,Neither,134696,0.408,0.914,6.67,0.495,36.5696,-87.3428,Race
"jackson, tennessee",Jackson,Tennessee,0,0,Neither,66493,0.512,0.877,2.67,0.408,35.6535,-88.8351,Race
"knoxville, tennessee",Knoxville,Tennessee,0.028,-0.01,Neither,184206,0.499,0.877,7.18,0.39,35.969,-83.9498,Race
"memphis, tennessee",Memphis,Tennessee,-0.137,-0.571,Neither,662760,0.509,0.826,30.75,0.464,35.1047,-89.9773,Race
"murfreesboro, tennessee",Murfreesboro,Tennessee,0,0,Neither,109029,0.435,0.912,1.71,0.157,35.851,-86.4093,Race
"abilene, texas",Abilene,Texas,0,0,Neither,119960,0.455,0.841,2,0.167,32.4543,-99.7384,Race
"arlington, texas",Arlington,Texas,0,0,Neither,382459,0.423,0.839,4.67,0.122,32.6998,-97.1251,Race
"austin, texas",Austin,Texas,0.418,-0.093,Neither,834833,0.483,0.867,10.09,0.121,30.3038,-97.7545,Race
"beaumont, texas",Beaumont,Texas,0.459,-0.239,Neither,115556,0.496,0.847,4,0.346,30.0849,-94.1451,Race
"dallas, texas",Dallas,Texas,0.034,-0.605,HS,1279316,0.538,0.735,16.09,0.126,32.7938,-96.7659,Orientation
"denton, texas",Denton,Texas,0.338,0.226,Neither,122995,0.465,0.887,2.09,0.17,33.2165,-97.1411,Race
"el paso, texas",El Paso,Texas,-0.329,-0.364,Neither,651980,0.47,0.774,2.82,0.043,31.8478,-106.431,Orientation
"fort worth, texas",Fort Worth,Texas,0.197,0.15,Neither,763265,0.457,0.796,13.25,0.174,32.7813,-97.3466,Race
"houston, texas",Houston,Texas,0.021,-0.544,Neither,2229888,0.525,0.758,16.64,0.075,29.7871,-95.3936,Race
"league city, texas",League City,Texas,0,0,Neither,99859,0.368,0.949,1.67,0.167,29.4873,-95.109,Race
"lubbock, texas",Lubbock,Texas,0,0,Neither,249081,0.493,0.869,1.5,0.06,33.5665,-101.8867,Race
"mckinney, texas",Mckinney,Texas,0.349,-0.024,Neither,150571,0.413,0.914,4.89,0.325,33.1989,-96.6678,Race
"odessa, texas",Odessa,Texas,0,0,Neither,115280,0.46,0.792,3.2,0.278,31.8831,-102.3407,Race
"pearland, texas",Pearland,Texas,0,0,Neither,99331,0.372,0.927,2.86,0.288,29.5585,-95.3201,Race
"plano, texas",Plano,Texas,-0.149,-0.601,HS,273657,0.441,0.924,3,0.11,33.0502,-96.7487,Race
"round rock, texas",Round Rock,Texas,0.392,-0.252,Neither,107056,0.381,0.906,2.38,0.222,30.5253,-97.6659,Race
"san angelo, texas",San Angelo,Texas,0.089,-0.51,Neither,96158,0.453,0.837,2,0.208,31.4424,-100.4503,Race
"san antonio, texas",San Antonio,Texas,0.195,-0.413,Neither,1399350,0.464,0.807,10.82,0.077,29.4722,-98.5247,Race
"temple, texas",Temple,Texas,0,0,Neither,71584,0.445,0.89,1.17,0.174,31.1077,-97.3899,Race
"victoria, texas",Victoria,Texas,0,0,Neither,66559,0.46,0.808,1.13,0.174,28.8284,-96.9848,Race
"layton, utah",Layton,Utah,0,0,Neither,70356,0.383,0.941,2.57,0.376,41.0773,-111.9618,Religion
"ogden, utah",Ogden,Utah,0,0,Neither,84488,0.459,0.82,2,0.237,41.2281,-111.9677,Religion
"salt lake city, utah",Salt Lake City,Utah,-0.412,0.542,Neither,187904,0.502,0.871,2.27,0.121,40.7774,-111.9301,Race
"west jordan, utah",West Jordan,Utah,0.36,-0.507,Neither,108047,0.335,0.903,1.67,0.154,40.6024,-112.0008,Race
"alexandria, virginia",Alexandria,Virginia,-0.224,-0.331,Neither,147332,0.453,0.909,3.8,0.258,38.8184,-77.0861,Race
"chesapeake, virginia",Chesapeake,Virginia,-0.041,0.091,Neither,228447,0.399,0.901,6.92,0.303,36.6778,-76.3024,Race
"hampton, virginia",Hampton,Virginia,0.504,-0.415,Neither,140666,0.413,0.895,3.18,0.226,37.0551,-76.3629,Race
"lynchburg, virginia",Lynchburg,Virginia,-0.338,-0.77,HS,74904,0.491,0.879,2.67,0.356,37.4004,-79.1911,Race
"newport news, virginia",Newport News,Virginia,0.353,-0.42,Neither,182271,0.428,0.895,6.67,0.366,37.1052,-76.5185,Race
"norfolk, virginia",Norfolk,Virginia,0.197,-0.496,Neither,240679,0.475,0.868,9.92,0.412,36.8945,-76.259,Race
"portsmouth, virginia",Portsmouth,Virginia,0.697,-0.243,Gini,98415,0.415,0.834,4.36,0.443,36.8468,-76.354,Race
"richmond, virginia",Richmond,Virginia,0.265,-0.874,HS,209148,0.536,0.832,5.58,0.267,37.5294,-77.4755,Race
"suffolk, virginia",Suffolk,Virginia,-0.12,-0.708,HS,85002,0.419,0.856,3.11,0.366,36.6953,-76.6398,Race
"virginia beach, virginia",Virginia Beach,Virginia,0.775,-0.757,Both,444809,0.409,0.927,13.25,0.298,36.7335,-76.0435,Race
"auburn, washington",Auburn,Washington,0,0,Neither,74959,0.405,0.879,3.8,0.58,47.3039,-122.2108,Race
"bellingham, washington",Bellingham,Washington,0.378,0.279,Neither,82287,0.469,0.932,6,0.729,48.7534,-122.4683,Race
"everett, washington",Everett,Washington,-0.132,0.557,Neither,103428,0.43,0.868,3.42,0.33,47.9524,-122.1672,Race
"federal way, washington",Federal Way,Washington,0.066,0.18,Neither,90076,0.419,0.882,3.83,0.426,47.3091,-122.3358,Race
"kent, washington",Kent,Washington,0,0,Neither,115797,0.418,0.842,9.57,0.827,47.3887,-122.2128,Race
"kirkland, washington",Kirkland,Washington,0,0,Neither,87626,0.445,0.967,4,0.511,47.6996,-122.1982,Race
"marysville, washington",Marysville,Washington,0,0,Neither,67832,0.369,0.905,2.67,0.393,48.0812,-122.1559,Race
"pasco, washington",Pasco,Washington,0,0,Neither,70107,0.395,0.741,1,0.158,46.2499,-119.1271,Race
"seattle, washington",Seattle,Washington,0.312,0.727,HS,637197,0.486,0.932,65.17,1.023,47.6217,-122.3238,Race
"spokane, washington",Spokane,Washington,0.098,0.116,Neither,207114,0.458,0.912,14,0.676,47.6671,-117.433,Race
"spokane valley, washington",Spokane Valley,Washington,-0.004,0.608,HS,89915,0.407,0.916,5.27,0.586,47.6625,-117.2345,Race
"tacoma, washington",Tacoma,Washington,0.39,0.189,Neither,202715,0.443,0.869,12.67,0.625,47.2431,-122.4531,Race
"vancouver, washington",Vancouver,Washington,0.47,-0.349,Neither,167173,0.427,0.886,9.58,0.573,45.6352,-122.5972,Race
"yakima, washington",Yakima,Washington,-0.084,0.144,Neither,89501,0.455,0.737,4.17,0.466,46.5926,-120.5492,Race
"appleton, wisconsin",Appleton,Wisconsin,-0.175,0.06,Neither,72387,0.44,0.913,3,0.414,44.2775,-88.3896,Race
"eau claire, wisconsin",Eau Claire,Wisconsin,0,0,Neither,68687,0.441,0.935,1,0.146,44.8202,-91.4948,Race
"madison, wisconsin",Madison,Wisconsin,-0.462,0.357,Neither,239043,0.46,0.947,9.08,0.38,43.0809,-89.3921,Race
"milwaukee, wisconsin",Milwaukee,Wisconsin,0.771,-0.898,Both,596702,0.459,0.816,17.75,0.297,43.064,-87.9669,Race
"birmingham, alabama",Birmingham,Alabama,0,0,Neither,212420,0.499,0.859,7,0.33,33.5276,-86.7986,Race
"phoenix, arizona",Phoenix,Arizona,-0.774,0.656,Both,1537887,0.473,0.791,125.36,0.815,33.5722,-112.0891,Race
"tempe, arizona",Tempe,Arizona,0.466,-0.754,HS,171254,0.467,0.908,4.7,0.274,33.3881,-111.9318,Race
"little rock, arkansas",Little Rock,Arkansas,0,0,Neither,191697,0.514,0.895,0.5,0.026,34.7255,-92.3584,Race
"chula vista, california",Chula Vista,California,0.124,-0.072,Neither,241399,0.413,0.816,4.55,0.188,32.6281,-117.0144,Race
"clovis, california",Clovis,California,0.228,0.014,Neither,97039,0.43,0.891,3.11,0.321,36.8283,-119.6851,Race
"compton, california",Compton,California,0.728,-0.282,Gini,96699,0.409,0.612,2.5,0.259,33.893,-118.2275,Race
"downey, california",Downey,California,0,0,Neither,110942,0.412,0.777,2.33,0.21,33.9379,-118.1312,Race
"folsom, california",Folsom,California,0,0,Neither,71988,0.392,0.911,2,0.278,38.6751,-121.1476,Race
"fullerton, california",Fullerton,California,0.518,0.064,Neither,137061,0.458,0.866,2.2,0.161,33.8841,-117.9279,Race
"glendale, california",Glendale,California,0.187,-0.077,Neither,198171,0.491,0.853,2.91,0.147,34.1818,-118.2468,Race
"hawthorne, california",Hawthorne,California,0,0,Neither,86150,0.434,0.75,2.29,0.265,33.9147,-118.3476,Race
"jurupa valley, california",Jurupa Valley,California,0,0,Neither,99704,0.408,0.696,1,0.1,33.9972,-117.4855,Race
"napa, california",Napa,California,0,0,Neither,77993,0.428,0.793,1.5,0.192,38.2982,-122.3011,Race
"perris, california",Perris,California,0,0,Neither,68024,0.4,0.654,2,0.329,33.7897,-117.2233,Race
"vallejo, california",Vallejo,California,0,0,Neither,117125,0.431,0.855,3.71,0.317,38.1134,-122.2359,Race
"fort collins, colorado",Fort Collins,Colorado,0.129,-0.55,Neither,144794,0.467,0.954,5,0.345,40.5487,-105.0656,Religion
"longmont, colorado",Longmont,Colorado,0,0,Neither,87224,0.429,0.876,3.43,0.393,40.1691,-105.0995,Race
"bridgeport, connecticut",Bridgeport,Connecticut,-0.201,-0.065,Neither,142686,0.467,0.751,6,0.421,41.1909,-73.1958,Race
"norwalk, connecticut",Norwalk,Connecticut,0.224,0.523,Neither,86023,0.486,0.879,3.91,0.454,41.1144,-73.4215,Race
"cape coral, florida",Cape Coral,Florida,0,0,Neither,161785,0.402,0.89,2,0.124,26.644,-81.9961,Race
"meridian, idaho",Meridian,Idaho,0,0,Neither,85692,0.411,0.955,1.5,0.175,43.6182,-116.398,Orientation
"champaign, illinois",Champaign,Illinois,0,0,Neither,80761,0.528,0.95,1.86,0.23,40.1148,-88.2731,Religion
"joliet, illinois",Joliet,Illinois,0,0,Neither,148799,0.391,0.844,1.33,0.09,41.5201,-88.1503,Race
"muncie, indiana",Muncie,Indiana,0,0,Neither,70242,0.479,0.879,3.33,0.475,40.1989,-85.395,Race
"des moines, iowa",Des Moines,Iowa,-0.057,-0.27,Neither,202092,0.446,0.858,2.78,0.137,41.5725,-93.6104,Race
"overland park, kansas",Overland Park,Kansas,0,0,Neither,182228,0.438,0.959,3.67,0.201,38.8871,-94.6871,Race
"baton rouge, louisiana",Baton Rouge,Louisiana,0,0,Neither,228389,0.575,0.879,3,0.131,30.4422,-91.1314,Race
"lawrence, massachusetts",Lawrence,Massachusetts,0,0,Neither,76045,0.469,0.655,1,0.132,42.7003,-71.1626,Race
"worcester, massachusetts",Worcester,Massachusetts,0.532,-0.057,Neither,182556,0.48,0.854,4.88,0.267,42.2705,-71.8079,Race
"kalamazoo, michigan",Kalamazoo,Michigan,0,0,Neither,73892,0.494,0.9,2.83,0.383,42.2749,-85.5882,Race
"livonia, michigan",Livonia,Michigan,-0.363,-0.175,Neither,94117,0.378,0.932,4.7,0.499,42.3972,-83.3733,Race
"bloomington, minnesota",Bloomington,Minnesota,0,0,Neither,82766,0.424,0.928,1.75,0.211,44.8306,-93.315,Race
"eagan, minnesota",Eagan,Minnesota,0,0,Neither,66013,0.416,0.958,2,0.307,44.8168,-93.1638,Race
"st. joseph, missouri",St. Joseph,Missouri,0,0,Neither,76788,0.449,0.863,1.4,0.182,39.7675,-94.8467,Race
"billings, montana",Billings,Montana,-0.687,0.193,Gini,106239,0.445,0.914,4.55,0.428,45.7892,-108.5498,Race
"north las vegas, nevada",North Las Vegas,Nevada,-0.136,0.064,Neither,224285,0.385,0.771,4.4,0.196,36.288,-115.0901,Race
"newark, new jersey",Newark,New Jersey,-0.03,0.872,HS,279612,0.472,0.715,2.5,0.089,40.7242,-74.1724,Race
"schenectady, new york",Schenectady,New York,0,0,Neither,64549,0.439,0.84,2.14,0.339,42.8025,-73.9276,Race
"gastonia, north carolina",Gastonia,North Carolina,-0.076,0.232,Neither,72913,0.479,0.809,2.44,0.335,35.2495,-81.1856,Race
"greenville, north carolina",Greenville,North Carolina,0,0,Neither,87811,0.543,0.925,3,0.342,35.5958,-77.3764,Race
"canton, ohio",Canton,Ohio,0,0,Neither,72022,0.445,0.849,1,0.139,40.8082,-81.3678,Race
"oklahoma city, oklahoma",Oklahoma City,Oklahoma,0.22,-0.59,Neither,595347,0.468,0.846,10,0.168,35.4677,-97.5138,Race
"tulsa, oklahoma",Tulsa,Oklahoma,0,0,Neither,390560,0.507,0.854,1.8,0.046,36.1284,-95.9037,Race
"medford, oregon",Medford,Oregon,0.321,-0.494,Neither,74838,0.446,0.875,2.13,0.284,42.3372,-122.8537,Race
"reading, pennsylvania",Reading,Pennsylvania,-0.078,-0.26,Neither,85203,0.44,0.666,1.6,0.188,40.34,-75.9266,Race
"scranton, pennsylvania",Scranton,Pennsylvania,0,0,Neither,76056,0.461,0.846,1.67,0.219,41.4043,-75.6649,Race
"pawtucket, rhode island",Pawtucket,Rhode Island,-0.296,-0.637,HS,71761,0.442,0.78,2.5,0.348,41.8743,-71.3744,Orientation
"franklin, tennessee",Franklin,Tennessee,0,0,Neither,69028,0.422,0.936,2.11,0.338,35.9215,-86.8522,Race
"johnson city, tennessee",Johnson City,Tennessee,0,0,Neither,65936,0.528,0.907,3.63,0.573,36.3404,-82.3803,Race
"grand prairie, texas",Grand Prairie,Texas,0,0,Neither,189086,0.394,0.802,1,0.053,32.6869,-97.0209,Religion
"longview, texas",Longview,Texas,0.704,0.52,Gini,80011,0.465,0.829,3.91,0.489,32.5192,-94.7622,Race
"sugar land, texas",Sugar Land,Texas,0,0,Neither,87572,0.471,0.928,1,0.114,29.5956,-95.6283,Race
"tyler, texas",Tyler,Texas,-0.203,-0.217,Neither,99488,0.514,0.829,2.63,0.264,32.3184,-95.3065,Race
"wichita falls, texas",Wichita Falls,Texas,0,0,Neither,102768,0.477,0.847,2.57,0.25,33.9072,-98.5293,Race
"green bay, wisconsin",Green Bay,Wisconsin,0,0,Neither,103673,0.444,0.867,1.33,0.129,44.5151,-87.9895,Race
"hemet, california",Hemet,California,0.693,-0.885,Both,76493,0.443,0.781,3.88,0.507,33.7352,-116.9946,Race
"lake forest, california",Lake Forest,California,0,0,Neither,78205,0.389,0.915,1.57,0.201,33.6606,-117.6712,Race
"redondo beach, california",Redondo Beach,California,-0.687,-0.688,Both,67701,0.422,0.955,4.4,0.65,33.8574,-118.3766,Race
"santa barbara, california",Santa Barbara,California,-0.073,0.641,HS,87832,0.477,0.851,2.67,0.304,34.4285,-119.7202,Race
"temecula, california",Temecula,California,0.371,0.022,Neither,100508,0.381,0.904,2.75,0.274,33.4928,-117.1315,Race
"coral springs, florida",Coral Springs,Florida,0,0,Neither,128937,0.424,0.916,1,0.078,26.2702,-80.2593,Race
"melbourne, florida",Melbourne,Florida,-0.249,-0.167,Neither,77664,0.446,0.886,4.38,0.563,28.1152,-80.653,Religion
"pembroke pines, florida",Pembroke Pines,Florida,0,0,Neither,160749,0.435,0.913,1.33,0.083,26.0127,-80.3384,Race
"tallahassee, florida",Tallahassee,Florida,0,0,Neither,178093,0.516,0.93,1,0.056,30.4549,-84.2527,Race
"elgin, illinois",Elgin,Illinois,0,0,Neither,107003,0.398,0.768,1.25,0.117,42.0385,-88.3227,Race
"cedar rapids, iowa",Cedar Rapids,Iowa,0,0,Neither,127302,0.454,0.92,1.4,0.11,41.9667,-91.6781,Race
"frederick, maryland",Frederick,Maryland,0,0,Neither,67936,0.401,0.903,1.75,0.276,39.4334,-77.4154,Race
"lynn, massachusetts",Lynn,Massachusetts,-0.679,0.35,Gini,90426,0.458,0.785,5.89,0.651,42.4778,-70.9662,Race
"springfield, missouri",Springfield,Missouri,0.163,-0.699,HS,158700,0.466,0.886,9.4,0.592,37.1943,-93.2916,Race
"edmond, oklahoma",Edmond,Oklahoma,0,0,Neither,82282,0.494,0.953,2.71,0.33,35.6689,-97.4159,Religion
"columbia, south carolina",Columbia,South Carolina,-0.391,-0.038,Neither,130667,0.53,0.885,5.13,0.392,34.0366,-80.9043,Race
"carrollton, texas",Carrollton,Texas,0,0,Neither,125147,0.399,0.844,2.5,0.2,32.9885,-96.9001,Religion
"corpus christi, texas",Corpus Christi,Texas,-0.259,-0.492,Neither,301028,0.469,0.808,5.22,0.173,27.7173,-97.3822,Race
"missouri city, texas",Missouri City,Texas,0,0,Neither,75628,0.382,0.917,1.67,0.22,29.5634,-95.5377,Race
"sandy, utah",Sandy,Utah,0,0,Neither,93488,0.38,0.942,1.33,0.143,40.565,-111.839,Race
"roanoke, virginia",Roanoke,Virginia,0.488,-0.344,Neither,95340,0.463,0.82,3,0.315,37.2784,-79.9581,Race
"flagstaff, arizona",Flagstaff,Arizona,0,0,Neither,64954,0.47,0.927,2.17,0.348,35.1867,-111.6175,Race
"goodyear, arizona",Goodyear,Arizona,0,0,Neither,72937,0.39,0.908,1.5,0.206,33.2613,-112.3622,Orientation
"lynwood, california",Lynwood,California,0,0,Neither,70998,0.405,0.547,1.33,0.188,33.924,-118.2017,Religion
"pittsburg, california",Pittsburg,California,0,0,Neither,65469,0.43,0.804,1,0.154,38.019,-121.897,Race
"yuba city, california",Yuba City,California,0,0,Neither,65329,0.435,0.808,2.17,0.345,39.1357,-121.6381,Race
"kissimmee, florida",Kissimmee,Florida,0,0,Neither,66623,0.447,0.797,1.5,0.229,28.3042,-81.4164,Race
"kansas city, kansas",Kansas City,Kansas,0,0,Neither,149103,0.445,0.783,1,0.067,39.1234,-94.7443,Religion
"boston, massachusetts",Boston,Massachusetts,0.097,-0.304,Neither,618321,0.532,0.857,148.88,2.408,42.3189,-71.0838,Race
"fall river, massachusetts",Fall River,Massachusetts,0,0,Neither,89632,0.45,0.709,1.67,0.186,41.7136,-71.1014,Race
"missoula, montana",Missoula,Montana,-0.098,-0.176,Neither,68401,0.473,0.943,4.33,0.639,46.8687,-114.0089,Race
"conroe, texas",Conroe,Texas,0,0,Neither,64446,0.449,0.735,1,0.155,30.3174,-95.4705,Race
"garland, texas",Garland,Texas,-0.405,-0.461,Neither,225549,0.4,0.747,7.38,0.327,32.91,-96.6305,Race
"harlingen, texas",Harlingen,Texas,0,0,Neither,65748,0.504,0.738,1,0.152,26.1914,-97.6977,Race
"killeen, texas",Killeen,Texas,0,0,Neither,119715,0.395,0.905,2.25,0.188,31.0758,-97.7286,Race
"tuscaloosa, alabama",Tuscaloosa,Alabama,0,0,Neither,89749,0.542,0.863,1.5,0.167,33.2349,-87.5268,Race
"north little rock, arkansas",North Little Rock,Arkansas,0,0,Neither,65398,0.448,0.898,2.17,0.359,34.7813,-92.2378,Race
"santa maria, california",Santa Maria,California,0,0,Neither,93037,0.424,0.593,1.6,0.172,34.9334,-120.4433,Race
"thornton, colorado",Thornton,Colorado,0,0,Neither,116998,0.361,0.861,2,0.171,39.9202,-104.9445,Race
"westminster, colorado",Westminster,Colorado,0,0,Neither,108583,0.396,0.905,1.25,0.115,39.8837,-105.0627,Race
"st. petersburg, florida",St. Petersburg,Florida,0,0,Neither,247102,0.466,0.875,4.25,0.172,27.7676,-82.6403,Race
"bend, oregon",Bend,Oregon,0,0,Neither,77118,0.445,0.939,2.86,0.37,44.0562,-121.3087,Race
"pasadena, texas",Pasadena,Texas,0,0,Neither,150079,0.46,0.702,1.5,0.1,29.6583,-95.1498,Religion
"provo, utah",Provo,Utah,-0.102,0.466,Neither,117161,0.486,0.935,1.38,0.117,40.2458,-111.6457,Orientation
"jonesboro, arkansas",Jonesboro,Arkansas,0,0,Neither,67044,0.514,0.866,3.17,0.492,35.8211,-90.6793,Race
"springdale, arkansas",Springdale,Arkansas,0,0,Neither,71217,0.422,0.716,3,0.421,36.1897,-94.1574,Race
"lakeland, florida",Lakeland,Florida,0,0,Neither,93717,0.456,0.849,1,0.107,28.0556,-81.9542,Race
"winston-salem, north carolina",Winston-Salem,North Carolina,0,0,Neither,234687,0.525,0.843,1,0.043,36.1029,-80.261,Race
"rock hill, south carolina",Rock Hill,South Carolina,0,0,Neither,68571,0.452,0.852,2,0.3,34.9413,-81.026,Race
"allen, texas",Allen,Texas,0,0,Neither,85506,0.373,0.945,1.17,0.136,33.1087,-96.6735,Race
"amarillo, texas",Amarillo,Texas,0,0,Neither,196576,0.44,0.827,1,0.051,35.1999,-101.8297,Race
"kennewick, washington",Kennewick,Washington,0,0,Neither,71140,0.412,0.849,2.86,0.423,46.1979,-119.1732,Race
"waukesha, wisconsin",Waukesha,Wisconsin,0,0,Neither,69606,0.413,0.922,1,0.144,43.0088,-88.2462,Race
"montgomery, alabama",Montgomery,Alabama,0,0,Neither,206754,0.474,0.836,1,0.048,32.347,-86.2663,Race
"surprise, arizona",Surprise,Arizona,0,0,Neither,110161,0.344,0.901,1,0.091,33.6802,-112.4525,Race
"whittier, california",Whittier,California,0,0,Neither,83361,0.421,0.832,2.8,0.336,33.9678,-118.0188,Race
"davenport, iowa",Davenport,Iowa,0,0,Neither,100337,0.449,0.88,3.17,0.316,41.5558,-90.6052,Race
"sioux city, iowa",Sioux City,Iowa,0,0,Neither,83030,0.449,0.839,1,0.12,42.4959,-96.3901,Race
"kenner, louisiana",Kenner,Louisiana,0,0,Neither,66058,0.454,0.814,1.33,0.202,30.0109,-90.2549,Religion
"o'fallon, missouri",O'Fallon,Missouri,0,0,Neither,79635,0.35,0.927,1.25,0.157,38.7853,-90.7178,Race
"camden, new jersey",Camden,New Jersey,0,0,Neither,78481,0.483,0.636,1.33,0.17,39.9361,-75.1072,Race
"paterson, new jersey",Paterson,New Jersey,0,0,Neither,146194,0.456,0.724,1,0.068,40.9147,-74.1624,Race
"cary, north carolina",Cary,North Carolina,0,0,Neither,123373,0.407,0.938,1.25,0.101,35.7815,-78.8162,Race
"kenosha, wisconsin",Kenosha,Wisconsin,0,0,Neither,98067,0.436,0.877,1,0.102,42.5861,-87.8755,Race
"peoria, arizona",Peoria,Arizona,0,0,Neither,153314,0.404,0.891,2,0.13,33.7844,-112.2989,Race
"mobile, alabama",Mobile,Alabama,0,0,Neither,246171,0.514,0.859,1,0.041,30.6782,-88.1161,Race
"naperville, illinois",Naperville,Illinois,0,0,Neither,144001,0.421,0.954,1.67,0.116,41.7483,-88.1656,Race
"midland, texas",Midland,Texas,0,0,Neither,104535,0.501,0.805,3.25,0.311,32.0278,-102.1107,Religion
"orem, utah",Orem,Utah,0,0,Neither,93785,0.418,0.92,1,0.107,40.2988,-111.699,Race
"hialeah, florida",Hialeah,Florida,0,0,Neither,216056,0.437,0.68,2,0.093,25.8696,-80.3045,Race
"sparks, nevada",Sparks,Nevada,0,0,Neither,88913,0.388,0.869,1,0.112,39.5727,-119.7131,Race
"nashua, new hampshire",Nashua,New Hampshire,0,0,Neither,87238,0.397,0.902,3.33,0.382,42.7492,-71.491,Race
"syracuse, new york",Syracuse,New York,0,0,Neither,138211,0.483,0.812,1,0.072,43.0409,-76.1438,Religion
"erie, pennsylvania",Erie,Pennsylvania,0,0,Neither,103292,0.444,0.845,1,0.097,42.1167,-80.0731,Race
"edinburg, texas",Edinburg,Texas,0,0,Neither,71734,0.489,0.761,1,0.139,26.3183,-98.1622,Race
"pleasanton, california",Pleasanton,California,0,0,Neither,66626,0.371,0.948,1,0.15,37.666,-121.8805,Orientation
"palatine, illinois",Palatine,Illinois,0,0,Neither,67550,0.418,0.913,2,0.296,42.1181,-88.043,Race
"evansville, indiana",Evansville,Indiana,0,0,Neither,115836,0.466,0.832,1.5,0.129,37.9882,-87.5339,Race
"waco, texas",Waco,Texas,0,0,Neither,122514,0.511,0.781,2,0.163,31.5597,-97.1882,Race
"plantation, florida",Plantation,Florida,0,0,Neither,87439,0.423,0.913,1,0.114,26.126,-80.2617,Religion
