cities,City,State,ginicor,hscor,articleplugin,Population,Gini,HSGrad,CrimesPerYear,CrimePerCapita,Latitude,Longitude,mostCommon
"los angeles, california",Los Angeles,California,-0.082,-0.375,Neither,3900886,0.527,0.754,189.73,0.486,34.114,-118.4068,Race
"manteca, california",Manteca,California,0,0,Neither,72762,0.391,0.83,2.56,0.36,37.7938,-121.2271,Race
"merced, california",Merced,California,0,0,Neither,81460,0.483,0.74,1.17,0.143,37.3057,-120.4779,Orientation
"modesto, california",Modesto,California,0.298,-0.115,Neither,207220,0.448,0.809,6.17,0.298,37.6371,-121.003,Race
"moreno valley, california",Moreno Valley,California,0.323,-0.289,Neither,197489,0.392,0.749,3.09,0.157,33.9244,-117.2045,Race
"newport beach, california",Newport Beach,California,-0.309,0.162,Neither,84189,0.543,0.976,3.82,0.454,33.6151,-117.8669,Race
"norwalk, california",Norwalk,California,0.227,-0.329,Neither,105783,0.374,0.744,3.92,0.37,33.9069,-118.0829,Race
"oakland, california",Oakland,California,0.059,0.049,Neither,407443,0.51,0.795,13.92,0.342,37.7903,-122.2165,Race
"oceanside, california",Oceanside,California,0.284,-0.41,Neither,172109,0.423,0.851,8.42,0.489,33.2247,-117.3083,Race
"ontario, california",Ontario,California,0.278,0.364,Neither,171527,0.38,0.719,2.3,0.134,34.0393,-117.6064,Race
"orange, california",Orange,California,0.427,-0.63,HS,138754,0.433,0.836,2.73,0.197,33.8038,-117.8219,Race
"oxnard, california",Oxnard,California,0.331,0.044,Neither,198524,0.41,0.66,4.73,0.238,34.1961,-119.1821,Race
"palmdale, california",Palmdale,California,0.582,-0.088,Neither,151058,0.423,0.742,7.45,0.493,34.5945,-118.1058,Race
"palo alto, california",Palo Alto,California,0,0,Neither,66804,0.507,0.975,3.42,0.539,37.3917,-122.1465,Race
"pasadena, california",Pasadena,California,-0.097,-0.544,Neither,142767,0.504,0.853,6.18,0.433,34.1598,-118.1389,Race
"pomona, california",Pomona,California,0.673,-0.794,Both,153334,0.41,0.675,4.67,0.304,34.0585,-117.7625,Race
"rancho cordova, california",Rancho Cordova,California,0,0,Neither,68926,0.422,0.887,1.33,0.193,38.5739,-121.2521,Race
"redding, california",Redding,California,-0.229,-0.299,Neither,91311,0.458,0.903,10.08,1.104,40.5698,-122.365,Race
"redlands, california",Redlands,California,-0.499,-0.23,Neither,70825,0.461,0.896,2.6,0.367,34.0512,-117.171,Race
"redwood city, california",Redwood City,California,0.648,0.335,Gini,78313,0.456,0.863,2.13,0.271,37.5026,-122.2251,Race
"rialto, california",Rialto,California,0,0,Neither,101735,0.386,0.676,1.43,0.14,34.1128,-117.3885,Race
"richmond, california",Richmond,California,-0.409,-0.422,Neither,105752,0.443,0.778,3.27,0.309,37.9477,-122.339,Race
"riverside, california",Riverside,California,-0.034,-0.595,Neither,310580,0.431,0.795,14.92,0.48,33.9382,-117.3949,Race
"roseville, california",Roseville,California,-0.456,0.531,Neither,123175,0.408,0.936,4.4,0.357,38.7683,-121.3164,Race
"sacramento, california",Sacramento,California,0.514,-0.641,HS,477134,0.459,0.828,14.25,0.299,38.5666,-121.4683,Orientation
"salinas, california",Salinas,California,-0.395,0.125,Neither,152502,0.406,0.605,1.78,0.117,36.6881,-121.6316,Orientation
"san bernardino, california",San Bernardino,California,0.279,-0.206,Neither,208244,0.44,0.683,3.64,0.175,34.1412,-117.2936,Race
"san diego, california",San Diego,California,0.223,-0.561,Neither,1336608,0.468,0.874,42.25,0.316,32.8312,-117.1225,Race
"san francisco, california",San Francisco,California,0.335,-0.817,HS,815512,0.512,0.868,44.73,0.548,37.7561,-122.4429,Orientation
"san jose, california",San Jose,California,0.67,-0.294,Gini,980894,0.441,0.828,25.58,0.261,37.302,-121.8488,Race
"san marcos, california",San Marcos,California,-0.01,-0.269,Neither,85532,0.446,0.82,2.5,0.292,33.135,-117.1743,Race
"san mateo, california",San Mateo,California,0.373,0.026,Neither,97858,0.447,0.886,3.17,0.324,37.5522,-122.3122,Race
"san ramon, california",San Ramon,California,0,0,Neither,69570,0.368,0.968,2.33,0.37,37.7625,-121.9366,Race
"santa ana, california",Santa Ana,California,-0.344,0.274,Neither,337476,0.404,0.564,4.3,0.127,33.7366,-117.8819,Race
"santa clara, california",Santa Clara,California,0,0,Neither,115171,0.405,0.914,1,0.087,37.3646,-121.9679,Orientation
"santa clarita, california",Santa Clarita,California,-0.291,-0.079,Neither,190087,0.396,0.889,7.09,0.373,34.4119,-118.5036,Race
"santa monica, california",Santa Monica,California,0.156,0.046,Neither,90884,0.534,0.947,3.1,0.341,34.0232,-118.4813,Race
"santa rosa, california",Santa Rosa,California,0.031,-0.33,Neither,165435,0.437,0.854,2.09,0.126,38.4465,-122.7059,Race
"south gate, california",South Gate,California,0.301,-0.294,Neither,96458,0.399,0.558,1.55,0.16,33.9448,-118.1926,Race
"stockton, california",Stockton,California,0.285,-0.346,Neither,298364,0.46,0.748,4,0.134,37.9766,-121.3111,Race
"sunnyvale, california",Sunnyvale,California,0.7,-0.627,Both,143161,0.42,0.909,1.56,0.109,37.3846,-122.0261,Race
"thousand oaks, california",Thousand Oaks,California,0.443,-0.131,Neither,127238,0.441,0.935,3.7,0.291,34.1914,-118.8755,Religion
"torrance, california",Torrance,California,0.386,0.051,Neither,145692,0.427,0.932,3.09,0.212,33.8346,-118.3417,Race
"turlock, california",Turlock,California,-0.197,-0.037,Neither,70549,0.441,0.814,2.33,0.331,37.5053,-120.8588,Race
"tustin, california",Tustin,California,0,0,Neither,74027,0.435,0.836,1.83,0.248,33.7309,-117.8106,Race
"union city, california",Union City,California,-0.299,-0.519,Neither,72457,0.395,0.872,3.1,0.428,37.603,-122.0187,Race
"vacaville, california",Vacaville,California,0.028,-0.754,HS,94474,0.39,0.864,3.25,0.344,38.3592,-121.9686,Race
"victorville, california",Victorville,California,0,0,Neither,121432,0.427,0.788,2.86,0.235,34.5277,-117.3537,Race
"visalia, california",Visalia,California,-0.287,-0.482,Neither,124539,0.443,0.819,2.91,0.234,36.3271,-119.3265,Race
"vista, california",Vista,California,-0.104,0.031,Neither,94863,0.413,0.769,3.36,0.355,33.1895,-117.2386,Race
"westminster, california",Westminster,California,-0.028,-0.082,Neither,90827,0.445,0.765,4.44,0.489,33.7523,-117.9938,Race
"yorba linda, california",Yorba Linda,California,0,0,Neither,66851,0.415,0.952,1,0.15,33.889,-117.7714,Religion
"arvada, colorado",Arvada,Colorado,0.659,-0.563,Gini,110186,0.4,0.923,2.22,0.202,39.8321,-105.1508,Race
"aurora, colorado",Aurora,Colorado,0.555,0.46,Neither,335929,0.415,0.847,7.08,0.211,39.7085,-104.7274,Race
"boulder, colorado",Boulder,Colorado,-0.711,-0.129,Gini,100224,0.536,0.963,3.8,0.379,40.0274,-105.2514,Race
"broomfield, colorado",Broomfield,Colorado,0,0,Neither,68158,0.42,0.969,1,0.165,39.9541,-105.0526,Race
"centennial, colorado",Centennial,Colorado,0.199,-0.348,Neither,103752,0.393,0.965,4.58,0.442,39.5927,-104.8674,Race
"colorado springs, colorado",Colorado Springs,Colorado,0.414,-0.405,Neither,421278,0.442,0.921,11.25,0.267,38.8673,-104.7605,Race
"denver, colorado",Denver,Colorado,-0.521,-0.313,Neither,632354,0.506,0.849,28.92,0.457,39.7621,-104.8759,Race
"greeley, colorado",Greeley,Colorado,-0.159,0.044,Neither,95053,0.45,0.826,4.3,0.452,40.415,-104.7697,Race
"lakewood, colorado",Lakewood,Colorado,0.178,-0.389,Neither,144553,0.43,0.892,2.9,0.201,39.6977,-105.117,Race
"loveland, colorado",Loveland,Colorado,0.648,-0.578,Gini,71327,0.405,0.938,1.91,0.274,40.4168,-105.0622,Race
"pueblo, colorado",Pueblo,Colorado,-0.493,-0.481,Neither,108074,0.469,0.844,4.11,0.38,38.2701,-104.613,Race
"danbury, connecticut",Danbury,Connecticut,0.129,0.465,Neither,82459,0.434,0.828,3.56,0.431,41.4016,-73.471,Race
"hartford, connecticut",Hartford,Connecticut,0.908,0.221,Gini,124512,0.502,0.713,5,0.402,41.7661,-72.6834,Race
"new britain, connecticut",New Britain,Connecticut,0.418,-0.457,Neither,72092,0.442,0.792,1.3,0.18,41.6758,-72.7862,Race
