Name,StateName,Count,Population,Crimes,AnnualCPC,Gini,HSPercent,latitude,longitude,
knoxville,tennessee,9,183652.5556,70,0.4235,0.494155556,0.715596403,35.9606384,-83.9207392,
memphis,tennessee,10,663293.2,327,0.493,0.50899,0.606375979,35.1495343,-90.0489801,
austin,texas,9,826915.5556,83,0.1115,0.484922222,0.689357564,30.267153,-97.7430608,
dallas,texas,9,1271518.222,152,0.1328,0.539088889,0.537556974,32.7766642,-96.7969879,
denton,texas,9,121311.7778,17,0.1557,0.467555556,0.711841513,33.2148412,-97.1330683,
el paso,texas,9,651589,24,0.0409,0.469744444,0.55577542,31.7775757,-106.4424559,
fort worth,texas,10,756264.9,140,0.1851,0.45777,0.572569576,32.7554883,-97.3307658,
houston,texas,9,2212973.667,163,0.0818,0.524244444,0.55506374,29.7604267,-95.3698028,
longview,texas,10,80245.4,42,0.5234,0.46318,0.618197116,32.5007037,-94.7404891,
plano,texas,9,271896.3333,28,0.1144,0.442088889,0.689916875,33.0198431,-96.6988856,
san antonio,texas,9,1388688.556,106,0.0848,0.463133333,0.591709809,29.4241219,-98.4936282,
salt lake city,utah,9,187916.6667,19,0.1123,0.503677778,0.680350829,40.7607793,-111.8910474,
st. george,utah,9,74729.33333,16,0.2379,0.423222222,0.665343299,37.0965278,-113.5684164,
west valley,utah,10,129262.5,51,0.3945,0.37142,0.54004069,40.68849,-111.95799,
chesapeake,virginia,10,227798.6,73,0.3205,0.3988,0.672870277,36.7682088,-76.2874927,
hampton,virginia,9,140718.2222,31,0.2448,0.409644444,0.691686219,37.0298687,-76.3452218,
newport news,virginia,10,182534.3,72,0.3944,0.42791,0.674119533,37.0870821,-76.4730122,
norfolk,virginia,10,240785.8,109,0.4527,0.47362,0.685626399,36.8507689,-76.2858726,
portsmouth,virginia,9,98498.88889,39,0.4399,0.417455556,0.625435267,36.8354258,-76.2982742,
virginia beach,virginia,10,444718,140,0.3148,0.40758,0.705831492,36.8529263,-75.977985,
bellingham,washington,9,81807.11111,54,0.7334,0.469933333,0.792540256,48.74908,-122.4781473,
everett,washington,10,103266.2,33,0.3196,0.43403,0.683998795,47.9789848,-122.2020794,
federal way,washington,10,89867.9,41,0.4562,0.41959,0.672768078,47.3223221,-122.3126222,
seattle,washington,10,632247.3,546,0.8636,0.4883,0.79296949,47.6062095,-122.3320708,
spokane valley,washington,9,89431.22222,43,0.5342,0.404666667,0.705479497,47.6732281,-117.2393748,
tacoma,washington,10,202152.1,133,0.6579,0.44371,0.671715254,47.2528768,-122.4442906,
vancouver,washington,10,166404.4,95,0.5709,0.42815,0.679945658,45.6387281,-122.6614861,
yakima,washington,10,89546.9,41,0.4579,0.45824,0.535953094,46.6020711,-120.5058987,
appleton,wisconsin,10,72369.5,27,0.3731,0.43441,0.686138558,44.2619309,-88.4153847,
madison,wisconsin,10,237820.2,105,0.4415,0.45979,0.784385028,34.6992579,-86.7483318,
milwaukee,wisconsin,10,596058.8,192,0.3221,0.46012,0.598335199,43.0389025,-87.9064736,
