State,Name,CrimeType,NumCrimes
texas,fort worth,Disability,1
california,fresno,Race,50
california,fresno,Religion,6
california,fresno,Orientation,23
california,fresno,Disability,0
california,fullerton,Race,9
california,fullerton,Religion,1
california,fullerton,Orientation,5
california,fullerton,Disability,0
florida,gainesville,Race,30
florida,gainesville,Religion,15
florida,gainesville,Orientation,14
florida,gainesville,Disability,1
california,garden grove,Race,26
california,garden grove,Religion,4
california,garden grove,Orientation,7
california,garden grove,Disability,0
arizona,gilbert,Race,19
arizona,gilbert,Religion,6
arizona,gilbert,Orientation,2
arizona,gilbert,Disability,0
arizona,glendale,Race,54
arizona,glendale,Religion,16
arizona,glendale,Orientation,10
arizona,glendale,Disability,0
michigan,grand rapids,Race,85
michigan,grand rapids,Religion,5
michigan,grand rapids,Orientation,11
michigan,grand rapids,Disability,1
virginia,hampton,Race,26
virginia,hampton,Religion,2
virginia,hampton,Orientation,3
virginia,hampton,Disability,0
north carolina,high point,Race,21
north carolina,high point,Religion,0
north carolina,high point,Orientation,2
north carolina,high point,Disability,0
alabama,hoover,Race,19
alabama,hoover,Religion,6
alabama,hoover,Orientation,3
alabama,hoover,Disability,0
texas,houston,Race,81
texas,houston,Religion,22
texas,houston,Orientation,60
texas,houston,Disability,0
california,huntington beach,Race,41
california,huntington beach,Religion,20
california,huntington beach,Orientation,10
california,huntington beach,Disability,0
missouri,independence,Race,35
missouri,independence,Religion,5
missouri,independence,Orientation,8
missouri,independence,Disability,0
california,irvine,Race,22
california,irvine,Religion,10
california,irvine,Orientation,3
california,irvine,Disability,0
florida,jacksonville,Race,13
florida,jacksonville,Religion,2
florida,jacksonville,Orientation,1
florida,jacksonville,Disability,0
new jersey,jersey city,Race,42
new jersey,jersey city,Religion,13
new jersey,jersey city,Orientation,22
new jersey,jersey city,Disability,2
tennessee,knoxville,Race,52
tennessee,knoxville,Religion,8
tennessee,knoxville,Orientation,8
tennessee,knoxville,Disability,2
california,lakewood,Race,24
california,lakewood,Religion,2
california,lakewood,Orientation,2
california,lakewood,Disability,0
california,lancaster,Race,59
california,lancaster,Religion,8
california,lancaster,Orientation,14
california,lancaster,Disability,1
michigan,lansing,Race,29
michigan,lansing,Religion,10
michigan,lansing,Orientation,12
